"","HEXID","date","tmean","tmax","ppt"
"1","CT1","jan_2000",9.27678270686057,15.3260241862266,27.3218144293754
"2","CT1","feb_2000",9.58890366265851,15.1591451821789,82.4549437184488
"3","CT1","mar_2000",10.4853472613519,17.0412419919045,32.7453790172454
"4","CT1","apr_2000",15.0413716685387,22.763895234754,39.1036693511471
"5","CT1","may_2000",19.0007508570148,27.3638225063201,0.0461854832340783
"6","CT1","jun_2000",22.7580333217498,32.4122903270106,0.176967742050164
"7","CT1","jul_2000",23.7048720236747,32.9020324214812,0
"8","CT1","aug_2000",24.4379769140674,34.2100240799689,0.213032258441672
"9","CT1","sep_2000",21.335775198475,29.8181209871846,0.149459678015011
"10","CT1","oct_2000",15.5661458661479,23.3239356240919,17.1247177124023
"11","CT1","nov_2000",8.82560525401946,15.5491612880461,0.0178306455078024
"12","CT1","dec_2000",9.96889563914268,16.5062984574226,0.484620967520318
"13","CT1","jan_2001",7.45426649744472,13.2675806476224,71.9178707676549
"14","CT1","feb_2001",6.70088741808168,12.5278870751781,90.2796213088497
"15","CT1","mar_2001",11.8075489421045,18.1884192805136,79.4953388552512
"16","CT1","apr_2001",11.6677344076095,18.9394516714158,21.8662500458379
"17","CT1","may_2001",21.3634525806673,30.7852741518328,0.0102822579248177
"18","CT1","jun_2001",23.1084446599407,32.9642903266415,4.03225825603811e-05
"19","CT1","jul_2001",24.0715898698376,33.7400162143092,2.88216127729749
"20","CT1","aug_2001",25.4131946871358,34.6208146772077,0
"21","CT1","sep_2001",22.4455011890781,31.3090162892495,0.161338709655308
"22","CT1","oct_2001",19.5088234870665,27.6940403753711,4.02020160793777
"23","CT1","nov_2001",12.5144118608967,18.3659516457588,31.6413709578976
"24","CT1","dec_2001",7.48012132798472,13.0926209572823,24.8021531489588
"25","CT1","jan_2002",7.50078261283136,13.9146935632152,13.1410725578185
"26","CT1","feb_2002",10.2753230141055,17.3892580693768,1.61923387167776
"27","CT1","mar_2002",10.393823054529,17.6521210439744,10.6756048317878
"28","CT1","apr_2002",14.0245409857842,22.2127822291467,11.9774435162544
"29","CT1","may_2002",16.9716459243528,25.5602662024959,2.10789516856593
"30","CT1","jun_2002",22.502259116019,32.170024195025,0.0207983868237915
"31","CT1","jul_2002",26.2496786271372,35.6737015478073,0
"32","CT1","aug_2002",24.8868398666382,33.8872742499075,0
"33","CT1","sep_2002",22.515742978742,31.6570402422259,3.61442742060171
"34","CT1","oct_2002",16.3841862293982,24.6574999670829,0.781185482504718
"35","CT1","nov_2002",12.5154279547353,19.5291935936097,28.2189676838536
"36","CT1","dec_2002",8.12737937800346,14.029911268142,50.8031207669166
"37","CT1","jan_2003",10.8702908139075,17.4745079625037,1.14184677730044
"38","CT1","feb_2003",8.48634720906135,14.5380402649603,70.6891690531085
"39","CT1","mar_2003",11.1351618382239,18.1517822050279,36.7714918890307
"40","CT1","apr_2003",11.0720327784938,18.1841693193682,35.2804113511116
"41","CT1","may_2003",16.9929604376516,24.7602258036214,24.8781450948408
"42","CT1","jun_2003",21.9376704077567,31.6396128746771,0.0157258061292176
"43","CT1","jul_2003",26.952670697243,35.8669838290061,4.26592741924668
"44","CT1","aug_2003",24.6746624669721,33.5309355028214,2.60302419539526
"45","CT1","sep_2003",24.5346463726413,33.3240804979878,0.00262903228342052
"46","CT1","oct_2003",20.5084122457812,28.9653870367235,0
"47","CT1","nov_2003",9.17316974363019,15.4216693139845,15.6168710185635
"48","CT1","dec_2003",8.45221811340701,14.5588709731256,33.5754191183275
"49","CT1","jan_2004",7.75300840793117,13.5981290301969,13.1681129240221
"50","CT1","feb_2004",7.73768586833631,13.4258628660633,72.6694916448286
"51","CT1","mar_2004",14.9724603468372,22.4135967454603,7.16062901866051
