"","HEXID","PercImper"
"1","CT1",6.12718864321377
"2","CT2",12.687182121757
"3","CT3",4.64320974808957
"4","CT4",10.6532046877031
"5","CT5",27.2556057653181
"6","CT6",27.7499509561853
"7","CT7",2.86220786214324
"8","CT8",2.35141949208183
"9","CT9",8.86814885706924
"10","CT10",18.1902175012645
"11","CT11",23.9644223766965
"12","CT12",9.94378108196804
"13","CT13",15.6067147768452
"14","CT14",6.45672884185053
"15","CT15",6.82335625964524
"16","CT16",29.1259100344646
"17","CT17",4.05727490113124
"18","CT18",1.98619246861925
"19","CT19",6.54732207903133
"20","CT20",12.4290553758362
"21","CT21",49.7098377116379
"22","CT22",35.0114688435525
"23","CT23",2.90095573616101
"24","CT24",4.74485857366244
"25","CT25",12.2482523012685
"26","CT26",11.6624048878454
"27","CT27",18.3289995193898
"28","CT28",3.33623980927294
"29","CT29",6.14269653387637
"30","CT30",15.6934839560766
"31","CT31",24.2687198724222
"32","CT32",5.39881483219901
"33","CT33",5.59104698793496
"34","CT34",9.62590506838294
"35","CT35",6.00493372058385
"36","CT36",25.537014328127
"37","CT37",7.47679767753461
"38","CT38",28.1604051491062
"39","CT39",22.7887035271687
"40","CT40",25.2661454164871
"41","CT41",2.77346073863487
"42","CT42",8.38521962891066
"43","CT43",5.47407676914681
"44","CT44",29.1851824494017
"45","CT45",30.8043400694152
"46","CT46",40.5766022078981
"47","CT47",22.1270649111907
"48","CT48",30.5196496638307
"49","CT49",6.75065571207726
"50","CT50",2.51876469986706
"51","CT51",8.86890711955479
"52","CT52",25.6412371134021
"53","CT53",36.9207097764028
"54","CT54",39.3345445877843
"55","CT55",32.4640468622409
"56","CT56",3.9472968733661
"57","CT57",5.34043063348199
"58","CT58",9.85434398586799
"59","CT59",16.407238019487
"60","CT60",25.5408960802053
"61","CT61",24.3098203840066
"62","CT62",32.2408048832422
"63","CT63",29.3543553531529
"64","CT64",4.58386478818594
"65","CT65",7.07013782542113
"66","CT66",12.2528764805415
"67","CT67",6.56334070961486
"68","CT68",31.0793836589016
"69","CT69",23.0759079063763
"70","CT70",49.9392308546128
"71","CT71",24.1538450954222
"72","CT72",3.87893981653151
"73","CT73",4.9726347249463
"74","CT74",21.6645536185948
"75","CT75",12.6560153762989
"76","CT76",4.68925716460928
"77","CT77",3.81797818061144
"78","CT78",2.70909090909091
"79","CT79",4.04207792207792
"80","CT80",10.024321172747
"81","CT81",5.76516915151815
"82","CT82",46.6636640446587
"83","CT83",51.1848501722923
"84","CT84",23.8436181998406
"85","CT85",22.6643312241368
"86","CT86",34.9687062617903
"87","FR9",12.5466308918955
"88","FR15",8.33493127439335
"89","FR16",31.5065989649066
"90","FR17",15.4375485392677
"91","FR18",9.68937602796053
"92","FR20",31.2815092153983
"93","FR23",8.78395246236803
"94","FR24",7.3272071259443
"95","FR25",8.19231489939803
"96","FR26",18.7041355470779
"97","FR29",14.3916857236197
"98","FR30",13.1752748795714
"99","FR31",23.4243671747414
"100","FR36",13.6734939759036
"101","FR39",28.6490713697719
"102","FR44",8.56864513801191
"103","FR47",12.6250014716444
"104","FR48",8.35286388910046
"105","FR53",11.2557061074806
"106","FR58",14.9832774967495
"107","FR59",11.3859054747989
"108","FR62",15.0275990050144
"109","FR63",15.2622496889923
"110","FR68",12.3813619969085
"111","FR70",9.25380992514006
"112","FR75",42.5795847159033
"113","FR87",11.3033418139311
"114","FR90",46.8664196782724
"115","FR91",46.8001460473593
