"","fire_id","year","hexPop"
"113","CA3624611854720150719","2017","6076.12028692229"
"114","CA3624611854720150719","2018","6142.18471564038"
"115","CA3687411890520150801","2000","14481.687326149"
"116","CA3687411890520150801","2001","14644.7615471602"
"117","CA3687411890520150801","2002","14884.3722708403"
"118","CA3687411890520150801","2003","15168.8625030248"
"119","CA3687411890520150801","2004","15464.8965486223"
"120","CA3687411890520150801","2005","15714.6802073278"
"121","CA3687411890520150801","2006","15961.1949741555"
"122","CA3687411890520150801","2007","16219.614589736"
"123","CA3687411890520150801","2008","16470.031311712"
"124","CA3687411890520150801","2009","16696.8617818079"
"125","CA3687411890520150801","2010","16920.5823624564"
"126","CA3687411890520150801","2011","17059.4738954107"
"127","CA3687411890520150801","2012","17230.7938638278"
"128","CA3687411890520150801","2013","17387.7516746654"
"129","CA3687411890520150801","2014","17543.9302177889"
"130","CA3687411890520150801","2015","17725.2362346852"
"131","CA3687411890520150801","2016","17897.3532787735"
"132","CA3687411890520150801","2017","18088.114291572"
"133","CA3687411890520150801","2018","18303.5274079647"
