"","fire_id","HEXID","PreCaseCount","PostCaseCount","year","igntn_d","acres","JnksSzC","HexArea","ignition_d","OnsetMonth","OnsetMonth1","OnsetMonth2","OnsetMonth3","OnsetMonth4","OnsetMonth5","OnsetMonth6","OnsetMonth7","OnsetMonth8","OnsetMonth9","OnsetMonth10","OnsetMonth11","OnsetMonth12","OnsetMonth13","OnsetMonth14","OnsetMonth15","OnsetMonth16","OnsetMonth17","OnsetMonth18","OnsetMonth19","OnsetMonth20","OnsetMonth21","OnsetMonth22","OnsetMonth23","OnsetMonth24","OnsetMonth25","OnsetMonth26","OnsetMonth27","OnsetMonth28","OnsetMonth29","OnsetMonth30","OnsetMonth31","OnsetMonth32","OnsetMonth33","OnsetMonth34","OnsetMonth35","OnsetMonth36","OnsetMonth37","OnsetMonth38","OnsetMonth39","OnsetMonth40","OnsetMonth41","OnsetMonth42","OnsetMonth43","OnsetMonth44","OnsetMonth45","OnsetMonth46","OnsetMonth47","OnsetMonth48","OnsetMonth49","OnsetMonth50","OnsetMonth51","OnsetMonth52","OnsetMonth53","OnsetMonth54","OnsetMonth55","OnsetMonth56","OnsetMonth57","OnsetMonth58","OnsetMonth59","OnsetMonth60","OnsetMonth61","OnsetMonth62","OnsetMonth63","OnsetMonth64","OnsetMonth65","OnsetMonth66","OnsetMonth67","OnsetMonth68","OnsetMonth69","OnsetMonth70","OnsetMonth71","OnsetMonth72","OnsetMonth73","OnsetMonth74","OnsetMonth75","OnsetMonth76","OnsetMonth77","OnsetMonth78","OnsetMonth79","OnsetMonth80","OnsetMonth81","OnsetMonth82","OnsetMonth83","OnsetMonth84","OnsetMonth85","OnsetMonth86","OnsetMonth87","OnsetMonth88","OnsetMonth89","OnsetMonth90","OnsetMonth91","OnsetMonth92","OnsetMonth93","OnsetMonth94","OnsetMonth95","OnsetMonth96","OnsetMonth97","OnsetMonth98","OnsetMonth99","OnsetMonth100","OnsetMonth101","OnsetMonth102","OnsetMonth103","OnsetMonth104","OnsetMonth105","OnsetMonth106","OnsetMonth107","OnsetMonth108","OnsetMonth109","OnsetMonth110","OnsetMonth111","OnsetMonth112","OnsetMonth113","OnsetMonth114","OnsetMonth115","OnsetMonth116","OnsetMonth117","OnsetMonth118","OnsetMonth119","OnsetMonth120","OnsetMonth121","OnsetMonth122","OnsetMonth123","OnsetMonth124","OnsetMonth125","OnsetMonth126","OnsetMonth127","OnsetMonth128","OnsetMonth129","OnsetMonth130","OnsetMonth131","OnsetMonth132","OnsetMonth133","OnsetMonth134","OnsetMonth135","OnsetMonth136","OnsetMonth137","OnsetMonth138","OnsetMonth139","OnsetMonth140","OnsetMonth141","OnsetMonth142","OnsetMonth143","OnsetMonth144","OnsetMonth145","OnsetMonth146","OnsetMonth147","OnsetMonth148","OnsetMonth149","OnsetMonth150","OnsetMonth151","OnsetMonth152","OnsetMonth153","OnsetMonth154","OnsetMonth155","OnsetMonth156","OnsetMonth157","OnsetMonth158","OnsetMonth159","OnsetMonth160","OnsetMonth161","OnsetMonth162","OnsetMonth163","OnsetMonth164","OnsetMonth165","OnsetMonth166","OnsetMonth167","OnsetMonth168","OnsetMonth169","OnsetMonth170","OnsetMonth171","OnsetMonth172","OnsetMonth173","OnsetMonth174","OnsetMonth175","OnsetMonth176","OnsetMonth177","OnsetMonth178","OnsetMonth179","OnsetMonth180","OnsetMonth181","OnsetMonth182","OnsetMonth183","OnsetMonth184","OnsetMonth185","OnsetMonth186","OnsetMonth187","OnsetMonth188","OnsetMonth189","OnsetMonth190","OnsetMonth191","OnsetMonth192","OnsetMonth193","OnsetMonth194","OnsetMonth195","OnsetMonth196","OnsetMonth197","OnsetMonth198","OnsetMonth199","OnsetMonth200","OnsetMonth201","OnsetMonth202","OnsetMonth203","OnsetMonth204","OnsetMonth205","OnsetMonth206","OnsetMonth207","OnsetMonth208","OnsetMonth209","OnsetMonth210","OnsetMonth211","OnsetMonth212","OnsetMonth213","OnsetMonth214","OnsetMonth215","OnsetMonth216","polycounts_Total","start_tally"
"1","CA3481111887720050903","FR64",6,5,2005,"2005/09/3",2439,"S",2165064518.92266,"2005-09-03",68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,4,1,1,0,0,55,32
"2","CA3483911890520100824","FR65",11,6,2010,"2010/08/24",1454,"S",2165064518.92266,"2010-08-24",128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,0,1,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,1,2,2,1,1,1,1,0,2,0,3,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,5,1,2,0,0,78,92
"3","CA3485211888620030630","FR55",10,6,2003,"2003/06/30",1195,"S",2165064518.92266,"2003-06-30",42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,1,2,1,1,1,1,0,2,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,4,1,1,0,0,68,6
"4","CA3490211891020030720","FR60",15,7,2003,"2003/07/20",1955,"S",2165064518.92266,"2003-07-20",43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,1,2,0,0,1,0,2,1,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,2,0,2,2,0,0,0,1,2,2,1,1,0,1,0,2,0,3,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,5,1,4,1,0,93,7
"5","CA3491311929720060722","FR66",131,16,2006,"2006/07/22",2486,"S",2165064518.92266,"2006-07-22",79,0,2,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,2,2,3,3,4,1,0,0,0,3,2,1,0,2,0,1,2,0,0,0,0,0,1,2,6,9,13,13,10,1,5,1,3,5,7,3,8,4,5,4,2,1,1,1,0,0,0,1,5,11,6,13,10,2,0,4,5,0,3,3,7,4,2,2,4,1,3,1,1,0,2,0,4,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,4,0,1,0,0,0,12,4,11,6,6,4,1,0,1,2,2,4,10,10,6,3,5,3,6,3,5,0,2,4,5,1,3,0,0,3,2,1,3,4,1,1,4,3,2,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,1,1,1,0,0,0,0,2,2,8,3,6,2,3,4,2,2,0,2,4,10,19,15,15,17,21,549,43
"6","CA3498611843120070624","FR70",74,46,2007,"2007/06/24",11784,"M",2165064518.92266,"2007-06-24",90,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,2,2,3,1,0,1,1,0,0,0,1,0,1,1,0,0,1,2,1,2,0,1,1,3,4,1,1,1,1,3,1,1,2,1,3,1,4,3,2,2,0,2,1,1,3,1,0,1,1,1,3,3,4,1,3,1,1,3,1,3,3,3,6,1,3,2,2,2,2,1,1,4,1,2,4,2,2,2,2,0,4,6,1,0,1,2,0,1,0,3,1,0,0,0,4,2,0,0,2,2,0,1,2,2,0,0,2,2,0,5,13,8,4,6,4,4,2,4,5,4,4,6,6,4,5,5,3,2,5,3,3,3,2,3,4,5,3,1,1,4,4,8,6,2,4,3,5,2,2,0,1,1,2,3,2,0,2,1,0,3,4,0,1,2,1,0,1,4,4,7,5,3,1,3,3,2,2,2,2,4,2,4,5,2,2,0,0,2,2,1,5,1,4,10,3,9,3,468,54
"7","CA3504112020920030810","FR54",38,17,2003,"2003/08/10",1275,"S",2165064518.92266,"2003-08-10",43,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,3,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,4,0,2,6,3,0,2,1,0,0,0,1,1,2,3,1,3,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,3,1,0,1,3,0,1,0,0,1,0,2,0,4,1,0,0,1,0,2,1,2,1,1,2,2,0,0,0,2,0,0,0,1,0,0,2,3,0,0,3,0,1,1,1,2,0,2,1,2,2,2,2,1,0,1,0,0,3,0,2,2,0,1,1,1,0,0,0,0,3,0,2,0,0,1,0,1,2,1,1,2,3,2,0,1,4,0,0,1,3,5,1,7,7,3,3,0,2,2,3,1,2,1,4,15,15,15,246,7
"8","CA3505011989520061011","FR56",2,0,2006,"2006/10/11",1049,"S",2165064518.92266,"2006-10-11",81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,14,45
"9","CA3506111988620100515","FR57",5,1,2010,"2010/05/15",2083,"S",2165064518.92266,"2010-05-15",125,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,3,1,2,0,0,2,0,0,1,0,2,1,1,0,1,0,1,40,89
"10","CA3506611841220100717","FR58",48,35,2010,"2010/07/17",1790,"S",2165064518.92266,"2010-07-17",127,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,2,1,2,1,0,1,1,0,0,0,1,0,1,1,0,0,0,2,1,2,0,1,1,3,3,1,0,2,1,4,0,2,2,1,3,1,2,3,1,1,0,2,0,1,2,1,0,1,1,1,1,0,2,1,2,1,1,0,1,2,2,2,4,1,1,0,2,2,2,0,1,4,1,3,4,2,1,2,2,0,2,5,0,0,0,0,0,1,0,2,0,0,0,0,4,1,0,0,3,1,0,1,0,2,0,0,2,2,0,5,9,7,2,4,4,3,2,4,4,2,3,2,3,2,3,2,1,2,3,1,2,3,1,2,2,5,2,1,1,4,4,8,5,1,4,3,3,2,2,0,0,1,1,1,1,0,2,1,0,3,4,0,1,2,1,0,1,3,3,4,4,2,1,3,3,2,2,3,2,4,2,5,7,3,1,1,0,2,2,0,4,1,5,6,4,7,1,366,91
