"","HEXID","clay","sand","silt","ph","ksat"
"1","CT1",13.1369038058449,57.7274432014391,26.4601867988018,6.18275825376047,0.000362394494012962
"2","CT10",17.5633883747354,51.7639269429248,26.8833869732568,7.00038640766008,0.041104365105186
"3","CT11",14.5211202465055,58.6835301619845,22.8056446793196,6.8932039806872,0.178133850156619
"4","CT12",12.0148584036777,62.6816825775656,23.482034165719,6.05323977671349,0.0131715413816853
"5","CT13",8.71223487597928,68.8848747278051,19.2582354266263,6.32491577603684,0.279048882436864
"6","CT14",4.09729289191392,83.4127994409168,9.5605580018783,7.03774011842471,0.757711923971092
"7","CT15",5.11266485711965,81.1292275266394,10.7851174617945,7.07554975769651,0.740819991517122
"8","CT16",16.8464460189783,33.465783836339,25.6276400559805,4.6737640475235,0.00844398659183969
"9","CT17",16.5621357827763,48.2528184099516,33.7656492374771,5.86280377637986,0.0157864895997828
"10","CT18",18.3870272363367,44.3881489849871,33.6372390612042,6.40944125140842,0.000690613937826782
"11","CT19",17.4024412890549,50.9174262830945,29.3779984464887,6.67222210019549,3.99360224919678e-06
"12","CT2",11.7636510753811,61.6377947459723,24.1696315273784,6.12201840756863,0.0272499477970348
"13","CT20",18.7702337020915,52.2973176114534,25.8511814866978,7.24480276613521,0.0383597632734464
"14","CT21",8.91952181451746,69.4072981581913,17.9495202073894,7.04791737165685,0.178185582364315
"15","CT22",13.4631902912253,61.5048381155458,22.1489109373456,6.69385954141473,0.0560308984529808
"16","CT23",11.3461211711608,59.8879951922069,25.1818256236604,5.98188991391694,0.0203782143880395
"17","CT24",6.64603209149831,74.5530392278233,14.94390577016,6.59882532177358,0.387776597486512
"18","CT25",6.62004980151282,77.1423536506466,12.2326902801185,7.08559210683962,0.522592394386447
"19","CT26",21.2098648075633,38.1846219847468,32.2551804523402,5.62246850121735,0.00262680636485434
"20","CT27",21.9110900098439,42.7023168594148,36.6477292747236,6.30201686309757,0.0175807397188555
"21","CT28",23.6865568986248,42.3847475374852,35.8249504311889,6.63095821090434,0.00673857130344074
"22","CT29",22.0146684397128,44.7943820582597,31.3830366865272,7.00288650845946,3.9813909785662e-06
"23","CT3",9.41112217688823,66.4018516882449,21.376930598837,6.16081396376137,0.110617390047226
"24","CT30",26.0287439608718,40.3691537158429,29.7713511920995,7.63130015188644,0.00044490981369526
"25","CT31",12.8666667993821,60.7408376598557,21.767422879075,7.22405977767514,0.00128402159545158
"26","CT32",18.9867741957961,53.1747155909606,24.8823443924959,6.76358091112423,0.000297622898847034
"27","CT33",11.2284513222362,60.1323032572622,24.8607535840635,5.95620285371287,0.0120358038037559
"28","CT34",7.55109179869292,70.5985316589268,17.163278531858,6.25164678184434,0.290240758161736
"29","CT35",5.66647087694218,77.444293011601,12.1526592392673,6.78511646336061,0.390301838067296
"30","CT36",6.85198063140309,75.8384921545249,13.2463313544336,7.15186366680417,0.512816213330261
"31","CT37",22.2684914128133,41.5899999305123,33.8176117485777,6.65985687525872,0.000452662519245604
"32","CT38",26.6968802095737,36.6070661665476,32.6963284909105,7.43762899896801,0.00792946733349208
"33","CT39",26.9457944741468,34.7391391943755,35.3526143048122,7.60523069380334,0.00458320886153212
"34","CT4",8.81102027005996,73.0097038055183,15.2002548190213,7.42936904681823,0.374357053858378
"35","CT40",17.9631369840036,51.4772669300803,23.9429432648398,6.53288551036633,0.0532325731657569
"36","CT41",16.6251331235118,54.0868119139712,26.3594796347081,6.04122188773854,0.00279894354769072
"37","CT42",10.4673166867833,58.711469285011,23.0646033176635,5.87725915573484,0.116725693231268
"38","CT43",6.59192313648257,72.0381170860317,16.1392898125464,6.17556055414157,0.279594121874615
"39","CT44",18.6078930050519,47.4061196518607,30.3423689900694,6.67530615577205,1.28647273914786e-05
"40","CT45",30.4645365401343,33.448887156006,32.6002321579307,7.35458610872235,0.000458180400368525
"41","CT46",36.8143626474978,26.0413617093706,33.7801051731577,7.38068566407131,0.00625022265676027
"42","CT47",16.2642660562715,47.6300746269395,28.533498005429,6.77436261310073,0.068570489850004
"43","CT48",22.222735851204,44.7631715154628,27.7124499112778,6.12027923998745,0.0512698709593777
"44","CT49",11.4585116406117,56.7501395448266,24.2507293938806,5.88193715930279,0.0439249506149868
"45","CT5",6.57319268791075,77.0208347349343,12.7656094830226,7.32142365835413,0.407147411598729
