"","HEXID","date","NDaysAbove5ms"
"14597","CT1","nov_2004",10
"20501","CT1","nov_2005",17
"27389","CT1","nov_2006",13
"35261","CT1","nov_2007",10
"44117","CT1","nov_2008",17
"53957","CT1","nov_2009",13
"64781","CT1","nov_2010",19
"76589","CT1","nov_2011",12
"89381","CT1","nov_2012",11
"103157","CT1","nov_2013",5
"117917","CT1","nov_2014",11
"133661","CT1","nov_2015",17
"150389","CT1","nov_2016",12
"168101","CT1","nov_2017",6
"186797","CT1","nov_2018",14
"739","CT1","oct_2000",9
"2707","CT1","oct_2001",3
"5659","CT1","oct_2002",2
"9595","CT1","oct_2003",3
"14515","CT1","oct_2004",11
"20419","CT1","oct_2005",10
"27307","CT1","oct_2006",7
"35179","CT1","oct_2007",14
"44035","CT1","oct_2008",12
"53875","CT1","oct_2009",14
"64699","CT1","oct_2010",11
"76507","CT1","oct_2011",6
"89299","CT1","oct_2012",7
"103075","CT1","oct_2013",6
"117835","CT1","oct_2014",7
"133579","CT1","oct_2015",5
"150307","CT1","oct_2016",14
"168019","CT1","oct_2017",12
"186715","CT1","oct_2018",8
"657","CT1","sep_2000",4
"2625","CT1","sep_2001",1
"5577","CT1","sep_2002",3
"9513","CT1","sep_2003",1
"14433","CT1","sep_2004",4
"20337","CT1","sep_2005",3
"27225","CT1","sep_2006",8
"35097","CT1","sep_2007",5
"43953","CT1","sep_2008",1
"53793","CT1","sep_2009",5
"64617","CT1","sep_2010",1
"76425","CT1","sep_2011",1
"89217","CT1","sep_2012",1
"102993","CT1","sep_2013",7
"117753","CT1","sep_2014",1
"133497","CT1","sep_2015",1
"150225","CT1","sep_2016",6
"167937","CT1","sep_2017",5
"186633","CT1","sep_2018",0
"256","CT10","apr_2000",16
"2224","CT10","apr_2001",17
"5176","CT10","apr_2002",20
"9112","CT10","apr_2003",26
"14032","CT10","apr_2004",15
"19936","CT10","apr_2005",18
"26824","CT10","apr_2006",20
"34696","CT10","apr_2007",19
"43552","CT10","apr_2008",20
"53392","CT10","apr_2009",23
"64216","CT10","apr_2010",19
"76024","CT10","apr_2011",23
"88816","CT10","apr_2012",17
"102592","CT10","apr_2013",17
"117352","CT10","apr_2014",16
"133096","CT10","apr_2015",14
"149824","CT10","apr_2016",15
"167536","CT10","apr_2017",20
"186232","CT10","apr_2018",15
"584","CT10","aug_2000",10
"2552","CT10","aug_2001",7
"5504","CT10","aug_2002",21
"9440","CT10","aug_2003",3
"14360","CT10","aug_2004",5
"20264","CT10","aug_2005",5
"27152","CT10","aug_2006",5
"35024","CT10","aug_2007",12
"43880","CT10","aug_2008",13
"53720","CT10","aug_2009",8
"64544","CT10","aug_2010",10
"76352","CT10","aug_2011",9
"89144","CT10","aug_2012",1
"102920","CT10","aug_2013",5
"117680","CT10","aug_2014",8
"133424","CT10","aug_2015",8
"150152","CT10","aug_2016",6
"167864","CT10","aug_2017",5
"186560","CT10","aug_2018",17
"912","CT10","dec_2000",10
"2880","CT10","dec_2001",16
"5832","CT10","dec_2002",12
"9768","CT10","dec_2003",17
"14688","CT10","dec_2004",15
"20592","CT10","dec_2005",19
"27480","CT10","dec_2006",15
"35352","CT10","dec_2007",17
"44208","CT10","dec_2008",17
"54048","CT10","dec_2009",11
"64872","CT10","dec_2010",13
"76680","CT10","dec_2011",9
"89472","CT10","dec_2012",16
"103248","CT10","dec_2013",15
