"","HEXID","date","NDaysAbove5ms"
"1","CT1","jan_2000",7
"2","CT2","jan_2000",7
"3","CT3","jan_2000",13
"4","CT4","jan_2000",13
"5","CT5","jan_2000",14
"6","CT6","jan_2000",NA
"7","CT7","jan_2000",14
"8","CT8","jan_2000",2
"9","CT9","jan_2000",7
"10","CT10","jan_2000",1
"11","CT11","jan_2000",2
"12","CT12","jan_2000",6
"13","CT13","jan_2000",19
"14","CT14","jan_2000",13
"15","CT15","jan_2000",5
"16","CT16","jan_2000",NA
"17","CT17","jan_2000",6
"18","CT18","jan_2000",1
"19","CT19","jan_2000",0
"20","CT20","jan_2000",1
"21","CT21","jan_2000",2
"22","CT22","jan_2000",2
"23","CT23","jan_2000",10
"24","CT24","jan_2000",13
"25","CT25","jan_2000",7
"26","CT26","jan_2000",9
"27","CT27","jan_2000",7
"28","CT28","jan_2000",2
"29","CT29","jan_2000",0
"30","CT30","jan_2000",0
"31","CT31","jan_2000",1
"32","CT32","jan_2000",1
"33","CT33","jan_2000",8
"34","CT34","jan_2000",15
"35","CT35","jan_2000",8
"36","CT36","jan_2000",13
"37","CT37","jan_2000",0
"38","CT38","jan_2000",0
"39","CT39","jan_2000",0
"40","CT40","jan_2000",1
"41","CT41","jan_2000",1
"42","CT42","jan_2000",18
"43","CT43","jan_2000",15
"44","CT44","jan_2000",0
"45","CT45","jan_2000",0
"46","CT46","jan_2000",0
"47","CT47","jan_2000",0
"48","CT48","jan_2000",0
"49","CT49","jan_2000",9
"50","CT50","jan_2000",15
"51","CT51","jan_2000",3
"52","CT52","jan_2000",0
"53","CT53","jan_2000",0
"54","CT54","jan_2000",0
"55","CT55","jan_2000",0
"56","CT56","jan_2000",3
"57","CT57","jan_2000",13
"58","CT58","jan_2000",7
"59","CT59","jan_2000",2
"60","CT60","jan_2000",1
"61","CT61","jan_2000",0
"62","CT62","jan_2000",0
"63","CT63","jan_2000",0
"64","CT64","jan_2000",1
"65","CT65","jan_2000",21
"66","CT66","jan_2000",11
"67","CT67","jan_2000",3
"68","CT68","jan_2000",3
"69","CT69","jan_2000",3
"70","CT70","jan_2000",1
"71","CT71","jan_2000",0
"72","CT72","jan_2000",0
"73","CT73","jan_2000",3
"74","CT74","jan_2000",10
"75","CT75","jan_2000",1
"76","CT76","jan_2000",1
"77","CT77","jan_2000",1
"78","CT78","jan_2000",13
"79","CT79","jan_2000",9
"80","CT80","jan_2000",4
"81","CT81","jan_2000",15
"82","CT82","jan_2000",7
"83","CT83","jan_2000",3
"84","CT84","jan_2000",6
"85","CT85","jan_2000",2
"86","CT86","jan_2000",7
"87","FR9","jan_2000",1
"88","FR15","jan_2000",0
"89","FR16","jan_2000",0
"90","FR17","jan_2000",12
"91","FR18","jan_2000",0
"92","FR20","jan_2000",0
"93","FR23","jan_2000",15
"94","FR24","jan_2000",1
"95","FR25","jan_2000",11
"96","FR26","jan_2000",0
"97","FR29","jan_2000",0
"98","FR30","jan_2000",10
"99","FR31","jan_2000",2
"100","FR36","jan_2000",15
"101","FR39","jan_2000",0
"102","FR44","jan_2000",2
"103","FR47","jan_2000",16
"104","FR48","jan_2000",1
"105","FR53","jan_2000",16
"106","FR58","jan_2000",18
"107","FR59","jan_2000",17
"108","FR62","jan_2000",18
"109","FR63","jan_2000",19
"110","FR68","jan_2000",2
"111","FR70","jan_2000",16
"112","FR75","jan_2000",9
"113","FR87","jan_2000",0
"114","FR90","jan_2000",9
"115","FR91","jan_2000",7
"116","CT1","feb_2000",13
"117","CT2","feb_2000",15
"118","CT3","feb_2000",20
"119","CT4","feb_2000",17
"120","CT5","feb_2000",14
"121","CT6","feb_2000",NA
"122","CT7","feb_2000",9
"123","CT8","feb_2000",8
"124","CT9","feb_2000",13
"125","CT10","feb_2000",12
"126","CT11","feb_2000",6
"127","CT12","feb_2000",9
"128","CT13","feb_2000",21
"129","CT14","feb_2000",18
"130","CT15","feb_2000",10
"131","CT16","feb_2000",NA
"132","CT17","feb_2000",8
"133","CT18","feb_2000",7
"134","CT19","feb_2000",4
"135","CT20","feb_2000",2
"136","CT21","feb_2000",6
"137","CT22","feb_2000",6
"138","CT23","feb_2000",15
"139","CT24","feb_2000",19
"140","CT25","feb_2000",17
"141","CT26","feb_2000",8
"142","CT27","feb_2000",9
"143","CT28","feb_2000",5
"144","CT29","feb_2000",2
"145","CT30","feb_2000",0
"146","CT31","feb_2000",3
"147","CT32","feb_2000",6
"148","CT33","feb_2000",10
"149","CT34","feb_2000",20
"150","CT35","feb_2000",17
"151","CT36","feb_2000",19
"152","CT37","feb_2000",0
"153","CT38","feb_2000",2
"154","CT39","feb_2000",1
"155","CT40","feb_2000",2
"156","CT41","feb_2000",2
"157","CT42","feb_2000",20
"158","CT43","feb_2000",18
"159","CT44","feb_2000",0
"160","CT45","feb_2000",1
"161","CT46","feb_2000",0
"162","CT47","feb_2000",1
"163","CT48","feb_2000",1
"164","CT49","feb_2000",13
"165","CT50","feb_2000",17
"166","CT51","feb_2000",9
"167","CT52","feb_2000",2
"168","CT53","feb_2000",2
"169","CT54","feb_2000",1
"170","CT55","feb_2000",3
"171","CT56","feb_2000",4
"172","CT57","feb_2000",11
"173","CT58","feb_2000",12
"174","CT59","feb_2000",8
"175","CT60","feb_2000",7
"176","CT61","feb_2000",4
"177","CT62","feb_2000",2
"178","CT63","feb_2000",3
"179","CT64","feb_2000",2
"180","CT65","feb_2000",18
"181","CT66","feb_2000",10
"182","CT67","feb_2000",10
"183","CT68","feb_2000",10
"184","CT69","feb_2000",8
"185","CT70","feb_2000",6
"186","CT71","feb_2000",6
"187","CT72","feb_2000",4
"188","CT73","feb_2000",3
"189","CT74","feb_2000",5
