"","hexid","ATT","CI.lower","CI.upper","period"
"1","FR70",-0.77341848933868,-7.18292324696688,5.63608626828952,"0-12"
"2","FR58",25.9900448083764,12.0384417030137,39.9416479137391,"0-12"
"3","FR59",-5.920579688467,-17.441747079169,5.60058770223499,"0-12"
"4","FR62",-0.573204703380194,-7.90250452247039,6.75609511571,"0-12"
"5","FR63",4.0500623497178,-3.26915824849299,11.3692829479286,"0-12"
"6","FR68",-3.09365853230749,-18.2562837609436,12.0689666963286,"0-12"
"7","FR17",-0.370395621984845,-7.90601827690072,7.16522703293103,"0-12"
"8","FR9",1.5294227508758,-10.4997783624972,13.5586238642488,"0-12"
"9","FR23",6.40997331740929,-1.06138836394026,13.8813349987588,"0-12"
"10","FR24",-11.9959843021529,-20.1838087348811,-3.8081598694247,"0-12"
"11","FR25",-0.728098442916627,-12.108771667952,10.6525747821187,"0-12"
"12","FR29",0.0981175614081004,-7.18957118892785,7.38580631174406,"0-12"
"13","FR36",7.30790834931495,-6.63379860794306,21.249615306573,"0-12"
"14","FR47",-2.95473806568952,-10.5752083886187,4.66573225723966,"0-12"
"15","FR30",-4.16532002581516,-10.6028287213749,2.27218866974453,"0-12"
"16","FR48",-3.44795113601286,-14.4839957160469,7.58809344402118,"0-12"
"17","FR15",-3.28779742905562,-11.5834101145261,5.00781525641483,"0-12"
"18","FR26",17.143630308914,10.9406330172522,23.3466276005758,"0-12"
"19","FR16",8.52435142180875,0.534977616302467,16.513725227315,"0-12"
"20","FR18",4.45939096775747,-2.53360151319756,11.4523834487125,"0-12"
"21","FR20",32.4391108763963,19.124768827896,45.7534529248966,"0-12"
"22","FR31",237.767445659896,179.889619362256,295.645271957535,"0-12"
"23","FR39",126.074286203666,71.9917143887509,180.156858018581,"0-12"
"24","FR44",-1.930989644937,-7.57561354036052,3.71363425048652,"0-12"
"25","FR87",1.46163866661752,-6.35559871415501,9.27887604739005,"0-12"
"26","FR75",2.23704432894715,-6.29061637183714,10.7647050297314,"0-12"
"27","FR90",0.283714441867054,-8.70136775329888,9.26879663703299,"0-12"
"28","FR91",6.08164114840099,-3.52810474436121,15.6913870411632,"0-12"
"29","FR53",-2.62221739847772,-10.6790805526108,5.43464575565538,"0-12"
"30","ALL",2.14411451575775,0.563550847192694,3.7246781843228,"0-12"
"31","ALL Over 10",0.522556257555775,-2.34456171149681,3.38967422660836,"0-12"
"32","ALL Under 10",2.85205171290045,0.95763005354628,4.74647337225462,"0-12"
"33","FR70",-0.594086362286967,-9.55593174144381,8.36775901686988,"0-24"
"34","FR58",36.7992947150801,17.4739661784912,56.124623251669,"0-24"
"35","FR59",0.20750513872964,-15.360930959534,15.7759412369933,"0-24"
"36","FR62",-0.970914551520876,-12.094093404925,10.1522643018832,"0-24"
"37","FR63",5.4693391501424,-3.62934060739279,14.5680189076776,"0-24"
"38","FR68",13.0802495198713,-7.56956203502087,33.7300610747635,"0-24"
"39","FR17",1.5297756647478,-8.41691878137513,11.4764701108707,"0-24"
"40","FR9",5.88615174990056,-9.47267816726134,21.2449816670625,"0-24"
"41","FR23",4.87148188526664,-5.08187581734446,14.8248395878777,"0-24"
"42","FR24",-14.8257286139732,-27.3051547542447,-2.34630247370171,"0-24"
"43","FR25",-0.431186757460131,-16.6690313528841,15.8066578379638,"0-24"
"44","FR29",-2.96782103728073,-13.6727061244871,7.73706404992564,"0-24"
"45","FR36",19.6421346153111,2.64514373995168,36.6391254906705,"0-24"
"46","FR47",-8.96347113606841,-20.3939584609745,2.46701618883765,"0-24"
"47","FR30",-3.15717561450106,-13.2752574827485,6.96090625374638,"0-24"
"48","FR48",-9.0002865632596,-25.2334019943845,7.2328288678653,"0-24"
