"hexid","period","observed","obsSE","predicted","CI.lower","CI.upper","predSE","percentChange","percChangeSeDelta","DeltaCI.lower","DeltaCI.upper"
"FR32","0-12",27,1.89276842173725,31.5458438800304,2.8371034448883,60.2545843151725,14.6473165485419,-0.144102782519255,0.401912751957333,-0.931851776355628,0.643646211317119
"FR32","0-36",79,1.89276842173725,52.6297030140867,5.52757202957909,99.7318339985943,24.0316994818916,0.501053501648207,0.686351772772253,-0.84419597298541,1.84630297628182
"FR32","25-36",12,1.89276842173725,5.33974530625289,-23.3139188878613,33.9934095003671,14.6192164255685,1.24729819715332,6.16288132026373,-10.8319491905636,13.3265455848702
"FR38","0-36",43,1.06718737290547,46.9660440342412,19.0253655263766,74.9067225421058,14.2554482182983,-0.0844449243234056,0.278822831244465,-0.630937673562557,0.462047824915746
"FR38","13-24",13,1.06718737290547,18.2282873821067,-0.389539819307387,36.8461145835207,9.49889142929288,-0.286822742724523,0.376224953235232,-1.02422365106558,0.450578165616532
"FR38","25-36",9,1.06718737290547,10.7410577782282,-2.32066825893483,23.8027838153913,6.66414593732809,-0.162093698234944,0.529276962768146,-1.19947654526051,0.875289148790623
"FR38","0-12",21,1.06718737290547,17.9966988739064,1.76557634007555,34.2278214077372,8.28118496624021,0.166880667790033,0.540204932483805,-0.891920999878225,1.22568233545829
"FR41","0-36",12,0.568383110877332,3.47532367108338,-43.8458808168084,50.7965281589752,24.1434716774958,2.45291579597223,23.9883591295793,-44.5642680980031,49.4700996899476
"FR41","25-36",3,0.568383110877332,2.10839272980216,-23.2840983288681,27.5008837884725,12.9553525809542,0.422884815335851,8.74729585706145,-16.7218150645046,17.5675846951763
"FR41","0-12",8,0.568383110877332,0.173537465404027,-31.629531336778,31.976606267586,16.2260555113173,45.0995553978764,4310.39003097222,-8403.26490530767,8493.46401610342
"FR41","13-24",1,0.568383110877332,1.19339347587719,-22.9537100105432,25.3404969622976,12.3199507583778,-0.162053404670272,8.66361012989937,-17.142729259273,16.8186224499325
"FR44","0-36",4,0.406379867428796,0.947075605692659,-17.6904108164812,19.5845620278665,9.50892164396627,3.22352764230954,42.4076484916697,-79.8954634013631,86.3425186859822
"FR44","0-12",2,0.406379867428796,0.10168755623864,-9.3410189768427,9.54439408931998,4.81770741483742,18.6680899215083,931.834509354066,-1807.72754841246,1845.06372825548
"FR44","25-36",1,0.406379867428796,1.32307982243853,-9.25309030985355,11.8992499547306,5.39600516953678,-0.24418770278204,3.09774466966366,-6.31576725532281,5.82739184975873
"FR44","13-24",1,0.406379867428796,-0.477691772984515,-12.574626045751,11.6192424997819,6.17190524120738,-3.09340008883179,27.0606634740944,-56.1323004980568,49.9455003203932
"FR47","0-12",1,0.229153694111865,0.658142196760839,-13.6947614329764,15.0110458264981,7.32291001517207,0.519428483573419,16.9097158341665,-32.6236145513929,33.6624715185397
"FR5","0-36",34,1.03404747748473,31.6092107595134,13.0753149679776,50.1431065510492,9.4560692813958,0.0756358410425372,0.323440986220368,-0.558308491949385,0.709580174034459
"FR5","25-36",10,1.03404747748473,9.44981408433066,-1.55111680389028,20.4507449725516,5.61271984092905,0.0582218772517054,0.637985366959398,-1.19222944198872,1.30867319649213
"FR5","0-12",15,1.03404747748473,11.2092047168314,1.48218417788094,20.9362252557818,4.96276558109717,0.338185926560559,0.599607544491579,-0.837044860642936,1.51341671376405
"FR5","13-24",9,1.03404747748473,10.9501919583513,-0.357764719976087,22.2581486366788,5.76936565220787,-0.178096600111562,0.443215799150487,-1.04679956644652,0.690606366223394
"FR76","0-12",0,0.164367705983163,5.96346177476716,-8.33575315259691,20.2626767021312,7.29551782008371,-1,NA,NA,NA
"FR77","0-12",1,0.117041147196131,5.94438039818287,-20.3935492428508,32.2823100392166,13.437719204609,-0.831773888443329,0.380797151211574,-1.57813630481801,-0.085411472068643
"FR77","13-24",0,0.117041147196131,4.93451387213561,-20.0549636639957,29.9239914082669,12.7497334368017,-1,NA,NA,NA
"FR77","0-36",1,0.117041147196131,12.6053049091488,-25.9747954604512,51.1854052787488,19.6837246783674,-0.92066832121814,0.124227302709716,-1.16415383452918,-0.677182807907096
"FR77","25-36",0,0.117041147196131,1.72641063883031,-11.3220995912135,14.7749208688741,6.65740317859378,-1,NA,NA,NA
"FR81","0-36",5,0.430036634310747,14.447951295243,-14.1503163169312,43.0462189074172,14.5909528633542,-0.653930173363316,0.350760273556803,-1.34142030953465,0.0335599628080171
"FR81","0-12",0,0.430036634310747,6.05866026062943,-12.5165589756796,24.6338794969385,9.47715267158626,-1,NA,NA,NA
"FR81","25-36",4,0.430036634310747,3.06061233644457,-10.6603636525102,16.7815883253994,7.00049795354838,0.306928013185326,2.99261938075267,-5.55860597308991,6.17246199946056
"FR81","13-24",1,0.430036634310747,5.328678698169,-11.5401374621639,22.1974948585019,8.60653885731271,-0.812336217542331,0.313662181790102,-1.42711409385093,-0.197558341233731
"FR89","0-12",2,0.276557441167003,3.29175124222368,-11.6622300727433,18.2457325571906,7.62958230355456,-0.392420674337183,1.41074415372624,-3.15747921564061,2.37263786696624
"FR89","25-36",0,0.276557441167003,2.45967517567541,-9.7410967696577,14.6604471210085,6.22488364557812,-1,NA,NA,NA
"FR89","0-36",4,0.276557441167003,9.99620113154062,-16.0559340057885,36.0483362688697,13.2919056823108,-0.599847987514081,0.532799198203781,-1.64413441599349,0.444438440965329
"FR89","13-24",2,0.276557441167003,4.24477471364153,-13.2547496222726,21.7442990495556,8.92832874281332,-0.5288324740598,0.993178602589879,-2.47546253513596,1.41779758701636
"FR91","13-24",45,3.57956515701093,23.9942033303702,-7.88577155764268,55.8741782183831,16.2652933102107,0.87545297422074,1.28006315211927,-1.63347080393302,3.3843767523745
"FR91","25-36",53,3.57956515701093,26.1537496688513,-11.7593111003392,64.0668104380417,19.3433983516278,1.02647806418069,1.50502595973116,-1.92337281689238,3.97632894525375
"FR91","0-36",117,3.57956515701093,61.5416031876449,9.27357467888091,113.809631696409,26.6673614840633,0.901152942721663,0.825863155433193,-0.717538841927395,2.51984472737072
"FR91","0-12",19,3.57956515701093,11.3936501884234,-5.28609286847964,28.0733932453265,8.51007298821585,0.66759551906421,1.28456159860818,-1.85014521420782,3.18533625233624
"FR92","0-12",8,1.13643143564175,21.3194519804606,6.32267968325154,36.3162242776696,7.65141443735154,-0.624755832967374,0.14483837684621,-0.908639051585945,-0.340872614348803
"FR92","13-24",11,1.13643143564175,24.1772262532548,7.76666184728825,40.5877906592213,8.37273694181966,-0.545026386204284,0.164422284913175,-0.867294064634108,-0.22275870777446
"FR92","25-36",11,1.13643143564175,46.4624517877558,16.7476586181324,76.1772449573793,15.1606087600119,-0.7632496870753,0.0810308148973709,-0.922070084274147,-0.604429289876453
"FR92","0-36",30,1.13643143564175,91.9591300214712,54.8487711365155,129.069488906427,18.933856573957,-0.673768118587079,0.0682966409168649,-0.807629534784134,-0.539906702390023
