"hexid","period","observed","obsSE","predicted","CI.lower","CI.upper","predSE","percentChange","percChangeSeDelta","DeltaCI.lower","DeltaCI.upper"
"ALL","0-12",7.91656753253073,0.553869874640177,7.69902983858236,4.25040978879647,11.1476498883682,1.75950002540096,0.0282552085794267,0.245757845118163,-0.453430167852173,0.509940585011027
"ALL","13-24",9.7517234498307,0.699429530034258,9.03532911809596,4.64349438920391,13.427163846988,2.24073200453676,0.0792881280107384,0.278629180761602,-0.466825066282002,0.625401322303478
"ALL","0-36",31.0378507894442,2.2662200003381,28.575527694894,20.7601068055885,36.3909485841995,3.98745963740077,0.0861689457090998,0.171059915558112,-0.249108488784799,0.421446380202999
"ALL","25-36",8.47793198056172,0.632404794856164,7.21869713670801,3.19546487735344,11.2419293960626,2.05266952007886,0.17444073632766,0.345257253683284,-0.502263480891577,0.851144953546897
"ALL Over 10","0-12",14.9836537880473,1.23596045207661,13.8423020483003,8.9205564951438,18.7640476014569,2.51109466997783,0.0824538964519377,0.215712058599962,-0.340341738403988,0.505249531307864
"ALL Over 10","25-36",15.8116277936266,1.2555030484175,12.2909168367859,6.62266875131578,17.959164922256,2.89196330891332,0.286448196142984,0.319463260704099,-0.339699794837049,0.912596187123017
"ALL Over 10","13-24",16.7680216483224,1.21908218935554,14.8557353475485,8.95485510164362,20.7566155934534,3.01065318668616,0.128723772740705,0.243020536740167,-0.347596479270023,0.605044024751433
"ALL Over 10","0-36",53.9436498249817,4.12234712419192,47.0918480533164,36.4839209125491,57.6997751940836,5.41220772488126,0.145498680873766,0.158097746729342,-0.164372902715743,0.455370264463276
"ALL Under 10","0-12",1.10029551213697,0.169784260709715,1.77378526638317,-3.05983377106759,6.60740430383393,2.46613216196467,-0.379690691432723,0.867725008730928,-2.08043170854534,1.3210503256799
"ALL Under 10","25-36",1.03210564966744,0.27932125280506,2.06892436707128,-3.64249243748702,7.78034117162958,2.91398816559097,-0.501139014023763,0.715476777534705,-1.90347349799179,0.901195469944259
"ALL Under 10","0-36",3.84295002002334,0.526835903172415,6.5920337342221,-4.96646804938474,18.1505355178289,5.89719478755451,-0.417031196294867,0.527608595595221,-1.4511440436615,0.617081651071767
"ALL Under 10","13-24",1.0387231320817,0.118281112254936,1.80741492574447,-4.76835556079006,8.38318541227899,3.35498494210945,-0.425299018345854,1.0687848781748,-2.52011737956846,1.66951934287675
"FR12","25-36",87,3.35319425621885,64.9000948362739,35.8661117148372,93.9340779577107,14.8132566946106,0.340521924035372,0.310301864855303,-0.267669731081022,0.948713579151765
"FR12","13-24",56,3.35319425621885,71.5201281452295,39.2635348927584,103.776721397701,16.4574455369751,-0.217003640062196,0.18617492334276,-0.581906489814006,0.147899209689614
"FR12","0-12",27,3.35319425621885,40.2376718148778,21.1785131914303,59.2968304383253,9.72406052216709,-0.328987021808334,0.182320539164901,-0.686335278571539,0.0283612349548709
"FR12","0-36",170,3.35319425621885,176.657894796381,129.258406280312,224.05738331245,24.1834125081986,-0.0376880682522296,0.133095220808575,-0.298554701037037,0.223178564532578
"FR13","13-24",20,1.61577553936409,11.9447167066719,-0.506034157101611,24.3954675704453,6.35242391008851,0.674380438744835,0.900682799534164,-1.09095784834213,2.4397187258318
"FR13","25-36",23,1.61577553936409,14.8160027966975,-1.17126058580817,30.8032661792032,8.15676703189065,0.552375516905727,0.861571066359413,-1.13630377315872,2.24105480697018
"FR13","0-12",36,1.61577553936409,19.7220497740138,3.13843319053599,36.3056663574916,8.46102886912133,0.825368073425836,0.787381734116283,-0.717900125442078,2.36863627229375
"FR13","0-36",79,1.61577553936409,46.4827692773832,20.2982294395101,72.6673091152563,13.3594591009557,0.69955450650051,0.48969862935899,-0.260254807043112,1.65936382004413
