"hexid","ATT","CI.lower","CI.upper","period","OmittedControl","insig"
"ALL",2.41581137563279,-5.39663235286416,10.2282551041297,"0-36","CT19",TRUE
"ALL",2.4453885970862,-5.37970725127943,10.2704844454518,"0-36","CT2",TRUE
"ALL",2.41393949766393,-5.39854809868609,10.2264270940139,"0-36","CT20",TRUE
"ALL",2.42614849800873,-5.39927603063864,10.2515730266561,"0-36","CT21",TRUE
"ALL",2.61356237100594,-5.20473838326194,10.4318631252738,"0-36","CT22",TRUE
"ALL",2.46049244494074,-5.36797581778843,10.2889607076699,"0-36","CT23",TRUE
"ALL",2.43694571441742,-5.37136018718551,10.2452516160203,"0-36","CT28",TRUE
"ALL",2.34422288111861,-5.45323023977467,10.1416760020119,"0-36","CT29",TRUE
"ALL",2.37442582188666,-5.42966795118514,10.1785195949585,"0-36","CT31",TRUE
"ALL",2.30633515439617,-5.46278489355839,10.0754552023507,"0-36","CT32",TRUE
"ALL",2.36170572542618,-5.4386295443901,10.1620409952425,"0-36","CT36",TRUE
"ALL",2.45637914165585,-5.34267322700363,10.2554315103153,"0-36","CT37",TRUE
"ALL",2.52042233244142,-5.29804988975986,10.3388945546427,"0-36","CT38",TRUE
"ALL",2.55361129584465,-5.28320618932116,10.3904287810105,"0-36","CT39",TRUE
"ALL",2.61881385682216,-5.19879646619763,10.436424179842,"0-36","CT4",TRUE
"ALL",2.44811263719598,-5.37651893529722,10.2727442096892,"0-36","CT42",TRUE
"ALL",2.58968058538472,-5.25741809553618,10.4367792663056,"0-36","CT43",TRUE
"ALL",2.1810166857289,-5.60422126616802,9.96625463762583,"0-36","CT44",TRUE
"ALL",2.47368076708989,-5.35544565177442,10.3028071859542,"0-36","CT47",TRUE
"ALL",2.43831154966522,-5.38625525766829,10.2628783569987,"0-36","CT48",TRUE
"ALL",2.44274166988492,-5.36469408368587,10.2501774234557,"0-36","CT49",TRUE
"ALL",2.5912097406207,-5.24019672483215,10.4226162060735,"0-36","CT5",TRUE
"ALL",2.52494818330931,-5.29611167117324,10.3460080377919,"0-36","CT52",TRUE
"ALL",2.361892360631,-5.43918801420207,10.1629727354641,"0-36","CT53",TRUE
"ALL",2.34558889251067,-5.44933953684422,10.1405173218656,"0-36","CT54",TRUE
"ALL",2.48333745807663,-5.32426563568309,10.2909405518364,"0-36","CT56",TRUE
"ALL",2.46074194950641,-5.36613143866235,10.2876153376752,"0-36","CT57",TRUE
"ALL",2.56485348198901,-5.27661809567202,10.40632505965,"0-36","CT58",TRUE
"ALL",2.42999479843041,-5.38465331314101,10.2446429100018,"0-36","CT59",TRUE
"ALL",2.39529295869356,-5.38790115898107,10.1784870763682,"0-36","CT6",TRUE
"ALL",2.40584754555648,-5.40699712811284,10.2186922192258,"0-36","CT60",TRUE
"ALL",2.42038215045023,-5.38482252039699,10.2255868212974,"0-36","CT61",TRUE
"ALL",2.35888463568137,-5.43362528721982,10.1513945585826,"0-36","CT9",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","NONE",TRUE
"ALL",1.82296052306961,-5.98307712205016,9.62899816818938,"0-36","CT1",TRUE
"ALL",1.83304989409914,-5.97959790223877,9.64569769043705,"0-36","CT12",TRUE
"ALL",2.63435835717992,-5.1863941521863,10.4551108665461,"0-36","CT13",TRUE
