"ATT","S.E.","CI.lower","CI.upper","p.value","n.Treated","month","hexid"
-0.00364662926246406,0.879859739496554,-1.7281400301225,1.72084677159758,0.996693131044573,0,-36,"FR81"
-0.0992290915116394,0.953318364504706,-1.96769875174149,1.76924056871821,0.917099439165875,0,-35,"FR81"
-0.145612933133148,1.01720311609802,-2.13929440564717,1.84806853938088,0.886171478838254,0,-34,"FR81"
-0.170048557913873,1.20816600606979,-2.53801041715625,2.19791330132851,0.888067971927424,0,-33,"FR81"
0.918485976251495,0.530781313462425,-0.121826281801722,1.95879823430471,0.0835514367446204,0,-32,"FR81"
-0.0562545775005212,0.817264553919876,-1.65806366902467,1.54555451402363,0.945122738674138,0,-31,"FR81"
-0.164062030221051,0.763408758498273,-1.6603157023601,1.332191641918,0.829839679963788,0,-30,"FR81"
0.0132724520258903,0.911716267834299,-1.77365859704861,1.80020350110039,0.988385081086329,0,-29,"FR81"
-0.061727630897898,0.758424073429018,-1.54821149982693,1.42475623803114,0.935132330500513,0,-28,"FR81"
-0.421527071608165,1.61177796435369,-3.58055383281668,2.73749968960035,0.79368440100965,0,-27,"FR81"
-0.42217356219746,1.30529245621313,-2.98049976566703,2.13615264127211,0.74636797495376,0,-26,"FR81"
-0.0693582549386465,0.974886094823506,-1.98009988982162,1.84138337994432,0.943282367351574,0,-25,"FR81"
-0.621501910123282,1.60972208211934,-3.77649921619601,2.53349539594945,0.699428032068206,0,-24,"FR81"
0.416847719967873,1.76614687091447,-3.04473653843259,3.87843197836834,0.813416388278492,0,-23,"FR81"
-0.0827333747087838,1.29260499446822,-2.61619261010309,2.45072586068553,0.948966127252814,0,-22,"FR81"
1.44546803880043,1.71856875311789,-1.92286482226653,4.8138008998674,0.400298479623149,0,-21,"FR81"
0.0503045692909359,1.48326117995839,-2.8568339230939,2.95744306167577,0.972945057401048,0,-20,"FR81"
-0.427569534085446,1.0209535929897,-2.42860180623201,1.57346273806112,0.675366478978521,0,-19,"FR81"
-0.368669936807334,1.2367365141777,-2.79262896296123,2.05528908934656,0.765627593259268,0,-18,"FR81"
-0.273346118425554,1.35510408375812,-2.92930131789462,2.38260908104351,0.840138786372925,0,-17,"FR81"
-0.271683374258869,1.41622057456918,-3.04742469457909,2.50405794606135,0.847869960455483,0,-16,"FR81"
0.372220322924001,1.41005454378123,-2.39143579912426,3.13587644497226,0.791798540820249,0,-15,"FR81"
-0.593442620310919,1.39687023950158,-3.33125798080985,2.14437274018802,0.67095526397847,0,-14,"FR81"
0.537814495361593,1.34595074546206,-2.10020049070888,3.17582948143207,0.689466165255224,0,-13,"FR81"
-0.304710612260633,1.15151860713737,-2.5616456097776,1.95222438525634,0.791305049291556,0,-12,"FR81"
0.766166329402563,1.33813491251149,-1.85652990557561,3.38886256438074,0.566940724476608,0,-11,"FR81"
-0.225372509423088,1.16798185545503,-2.5145748807112,2.06382986186503,0.846991145861084,0,-10,"FR81"
-0.421185071042444,1.16219246583478,-2.69904044718241,1.85667030509753,0.717048946880468,0,-9,"FR81"
0.0367218897044437,1.10063269043222,-2.12047854375013,2.19392232315901,0.973384041737313,0,-8,"FR81"
-0.14379072378793,0.914232496722104,-1.93565349085939,1.64807204328353,0.875023977727597,0,-7,"FR81"
1.05199699986911,0.631705587226027,-0.186123199926632,2.29011719966485,0.0958473359807681,0,-6,"FR81"
-0.319495375901154,1.42874622859775,-3.11978652700018,2.48079577519787,0.823053466071162,0,-5,"FR81"
-0.298387174497885,1.73692918223154,-3.70270581536831,3.10593146637254,0.863602577574812,0,-4,"FR81"
0.877291373755594,1.08437068373883,-1.24803611226358,3.00261885977477,0.418496320566869,0,-3,"FR81"
-0.521061492535737,1.8940655107155,-4.23336167789758,3.19123869282611,0.78323776051997,0,-2,"FR81"
-0.657810759031837,2.12563518118558,-4.82397915842685,3.50835764036318,0.75696745024399,1,-1,"FR81"
-0.729627164558883,1.92600975517549,-4.50453691857565,3.04528258945789,0.704815307675393,1,0,"FR81"
-1.00237001659678,2.11091074155344,-5.13967904462026,3.13493901142671,0.634892523866906,1,1,"FR81"
-0.514532416065045,1.3186415684193,-3.09902239868428,2.06995756655419,0.69638951613279,1,2,"FR81"
-0.345497323167661,2.87564213473579,-5.9816523396757,5.29065769334037,0.904367376959465,1,3,"FR81"
-0.60743315662586,2.93371630692658,-6.35741145905982,5.1425451458081,0.835968894692235,1,4,"FR81"
-0.422615184281281,1.74088689567873,-3.83469080096933,2.98946043240677,0.808192444868612,1,5,"FR81"
-0.248933809927221,0.983865280206401,-2.17727432477117,1.67940670491673,0.800255729640829,1,6,"FR81"
-0.130979032795315,1.03571732074515,-2.16094767962013,1.8989896140295,0.899366113254159,1,7,"FR81"
-0.329166246087509,1.64244541867563,-3.54830011326456,2.88996762108954,0.841158149139663,1,8,"FR81"
-0.509386247627292,3.5462133950245,-7.45983678336882,6.44106428811423,0.885782936599354,1,9,"FR81"
