"","HEXID","PercImper"
"1","CT1",11.829903454561
"2","CT2",13.9783421933451
"3","CT3",11.1947708784643
"4","CT4",10.8832261102916
"5","CT5",23.8059832455156
"6","CT6",2.12484476870537
"7","CT7",8.03099258681478
"8","CT8",41.3493687129206
"9","CT9",8.38935192680217
"10","CT10",6.13223182576153
"11","CT11",12.1841399498677
"12","CT12",14.5532293036647
"13","CT13",11.6127589993128
"14","CT14",25.8899238476164
"15","CT15",5.39530613583206
"16","CT16",9.41873271047549
"17","CT17",21.3744983826288
"18","CT18",23.4784100543042
"19","CT19",36.8243203940336
"20","CT20",33.7172999265786
"21","CT21",6.67347007397445
"22","CT22",18.3493747631679
"23","CT23",27.250157575063
"24","CT24",32.7831670538316
"25","CT25",6.86078518868502
"26","CT26",14.6773208761038
"27","CT27",44.8411929056993
"28","CT28",4.0880814849717
"29","CT29",7.63352648165091
"30","CT30",6.53712918494374
"31","CT31",42.885750523798
"32","FR1",8.96562186425683
"33","FR2",5.73605626222736
"34","FR5",15.3343945339355
"35","FR6",13.4053608941998
"36","FR9",25.4538698324388
"37","FR11",12.9088782180103
"38","FR12",6.27863472649727
"39","FR15",16.3362246243079
"40","FR16",22.3015388820288
"41","FR17",10.6638129191494
"42","FR18",19.2079502364182
"43","FR19",6.82212275323952
"44","FR20",23.446345357366
"45","FR21",9.46663104125737
"46","FR22",6.49999600290988
"47","FR23",7.4770390785471
"48","FR24",30.6127416811776
"49","FR25",7.07546532017831
"50","FR26",21.0470443449547
"51","FR29",11.7534985311174
"52","FR30",16.8855700896076
"53","FR31",20.8893139712825
"54","FR36",8.27140502494654
"55","FR39",23.6271466020927
"56","FR41",17.4853756998498
"57","FR43",8.75897848358318
"58","FR44",9.45381274534369
"59","FR47",8.25234686629146
"60","FR48",20.564316904635
"61","FR49",27.7425608825626
"62","FR51",8.93278280375675
"63","FR53",8.0637903251971
"64","FR54",20.0046932155428
"65","FR55",11.363909861857
"66","FR58",10.731633520928
"67","FR59",11.2523217978949
"68","FR60",12.2128628229283
"69","FR61",20.7136918130634
"70","FR62",10.6182125524838
"71","FR63",10.1880179068182
"72","FR65",11.4014727045606
"73","FR66",8.41961104681508
"74","FR68",15.9097192536091
"75","FR69",10.7886286526745
"76","FR70",10.7351915086881
"77","FR75",43.04379093411
"78","FR84",22.9142262659816
"79","FR87",19.8765906373258
"80","FR88",18.185804291534
"81","FR90",44.0917095592194
"82","FR91",44.4978036257424
