"","HEXID","date","tmean","tmax","ppt"
"1","CT1","jan_2000",6.79763075061466,13.1874130290488,37.4618693641994
"2","CT1","feb_2000",6.13623941203822,11.8024782408839,134.147369965263
"3","CT1","mar_2000",7.78308731576671,14.7803477411685,43.6365216296652
"4","CT1","apr_2000",12.3349570606066,19.6554782079614,54.2037391247957
"5","CT1","may_2000",16.3681746151136,24.560260731241,1.45815216116961
"6","CT1","jun_2000",19.6502399651901,29.7539131745048,0.865608693900235
"7","CT1","jul_2000",21.7672836054926,30.666543421538,0
"8","CT1","aug_2000",21.1258487079455,31.0295651062675,0.171239131292247
"9","CT1","sep_2000",19.0260661995929,27.2954566375069,0.295630434355901
"10","CT1","oct_2000",12.1067614037058,20.0546522555144,22.3557609475177
"11","CT1","nov_2000",6.81136985447096,13.3759347666865,0.370086962023102
"12","CT1","dec_2000",8.87206564778867,15.0612173287765,0.950565213742463
"13","CT1","jan_2001",4.75221763296134,10.4473695340364,97.3808915511422
"14","CT1","feb_2001",3.4355653812299,9.4439348137897,107.46765219647
"15","CT1","mar_2001",8.60895696411962,15.2850218441175,109.79921772169
"16","CT1","apr_2001",8.46400037019149,15.8169783509296,32.7808045097019
"17","CT1","may_2001",18.125196373981,27.514195566592,0.0400000007458679
"18","CT1","jun_2001",19.6864357201949,29.4445867953093,0.0563913034983789
"19","CT1","jul_2001",20.5495661445286,30.3346306759378,9.32541308624913
"20","CT1","aug_2001",23.3530010555101,31.982848001563,0
"21","CT1","sep_2001",20.7055011832196,29.1052392462026,0.637804349145407
"22","CT1","oct_2001",17.6364138022713,25.0083914217742,3.36776085262713
"23","CT1","nov_2001",9.8350439382636,15.7660652243573,45.1167825615924
"24","CT1","dec_2001",4.82300025483836,10.7753913195237,32.5079565462859
"25","CT1","jan_2002",5.73834805125776,12.2559565668521,15.1285869349604
"26","CT1","feb_2002",8.48563083358433,15.0836087102475,3.2528478530762
"27","CT1","mar_2002",7.46950032400048,14.3648043715436,14.8137391339178
"28","CT1","apr_2002",10.7395005537116,18.8040869339653,8.05956521241561
"29","CT1","may_2002",13.9098485034445,22.5507389980814,2.26776088191115
"30","CT1","jun_2002",19.5088922044505,29.3799131227576,0.0390434781792979
"31","CT1","jul_2002",24.1592184978983,32.9593046022498,0.0270652180821027
"32","CT1","aug_2002",22.5596531577732,30.9048260398533,0
"33","CT1","sep_2002",19.4688052301821,28.5104781026426,4.89602174439326
"34","CT1","oct_2002",14.0726311517798,21.459347911503,3.09832608699799
"35","CT1","nov_2002",10.0251743586167,17.1921521684398,41.3382826266081
"36","CT1","dec_2002",4.64463069419498,10.9976087445798,66.5733039690101
"37","CT1","jan_2003",9.45306565450585,15.9949781791024,1.25152173962282
"38","CT1","feb_2003",5.4982611294026,11.6929782058882,109.510064249453
"39","CT1","mar_2003",8.19289172214011,14.9646956816964,58.4964780807495
"40","CT1","apr_2003",7.18100037263787,13.6831738948822,48.9697608947754
"41","CT1","may_2003",13.9903919593148,21.9132175445557,58.1611301587976
"42","CT1","jun_2003",19.1294140193773,28.7413478934247,0.660978271666428
"43","CT1","jul_2003",23.9552622670713,33.0860652508943,1.55258696283335
"44","CT1","aug_2003",21.5258053696674,30.9789564298547,10.40776095183
"45","CT1","sep_2003",22.418348768483,30.7292390906292,0.714108691753253
"46","CT1","oct_2003",18.9106313871301,26.7504782469376,0.0129130435095209
"47","CT1","nov_2003",6.23595681916112,12.7494130549224,23.232282721478
"48","CT1","dec_2003",5.40910897047623,11.5562826239544,46.0006302543308
"49","CT1","jan_2004",5.52043505077777,11.8818913024405,17.5998914138131
"50","CT1","feb_2004",4.01230450630512,9.8264348299607,112.750151758609
"51","CT1","mar_2004",12.6674788723821,19.5381738413935,11.6369347779647
"52","CT1","apr_2004",11.6033048007799,19.761282754981,2.67958696153136
"53","CT1","may_2004",15.2794354480246,23.7252174875011,0
"54","CT1","jun_2004",19.2378920472187,28.4948042579319,0.213130435569758
"55","CT1","jul_2004",23.0135444558185,31.6548912214196,0.0861521750238076
"56","CT1","aug_2004",21.3132401963939,30.5618260839711,0
"57","CT1","sep_2004",19.3540444581405,27.5748480506565,0.218695651876497
"58","CT1","oct_2004",11.8425006037173,19.3555870056152,90.8167173136836
"59","CT1","nov_2004",6.41093507538671,13.1268260375313,3.41441304333832
"60","CT1","dec_2004",5.62669591540876,12.2047609038975,114.90113067627
"61","CT1","jan_2005",5.24373938855918,10.8094129355057,192.267347252887
"62","CT1","feb_2005",5.58602202716081,10.6052173946215,205.615587317425
"63","CT1","mar_2005",7.78604387200397,14.1233261357183,38.2798041882722
"64","CT1","apr_2005",8.66984823475713,16.0216086843739,29.4139130219169
"65","CT1","may_2005",14.098957248356,22.1341955765434,26.6345868732618
"66","CT1","jun_2005",16.2129138241643,25.2780217709749,0
"67","CT1","jul_2005",23.723283684772,33.0404781673266,2.16473913369903
"68","CT1","aug_2005",22.7033925263778,31.0343912373418,0.0342391316333543
"69","CT1","sep_2005",17.2510441697162,25.5151522677878,9.98578264920608
"70","CT1","oct_2005",14.1105441217837,21.1344130557516,62.9202389924423
"71","CT1","nov_2005",10.3831527233124,17.5563477640567,11.7600435018539
"72","CT1","dec_2005",8.02243521420852,13.9908478363701,13.3169347928918
"73","CT1","jan_2006",5.27313070711882,11.7464347507643,100.194847936216
"74","CT1","feb_2006",6.88973942010299,14.1287825418555,27.5673043054083
"75","CT1","mar_2006",4.10926110135472,10.2383913993835,91.3388261380403
"76","CT1","apr_2006",8.50430478738702,15.0778261267621,66.2598045183265
