"","HEXID","date","tmax","tmean","ppt"
"1","CT1","apr_2000",22.9669990539551,14.299958974123,118.112500031789
"2","CT1","apr_2001",19.4029998779297,11.6166463891665,39.0668436686198
"3","CT1","apr_2002",22.3589992523193,13.4022090137005,4.67295834173759
"4","CT1","apr_2003",19.6030006408691,12.3404902120431,49.7183646361033
"5","CT1","apr_2004",23.7950000762939,14.4008444448312,0.00949999990795428
"6","CT1","apr_2005",23.261999130249,13.1459172765414,20.7931770881017
"7","CT1","apr_2006",17.9330005645752,12.4922922253609,118.860530773799
"8","CT1","apr_2007",23.1580009460449,13.5783964892228,18.2412395675977
"9","CT1","apr_2008",23.0890007019043,13.407750616471,2.38916666433215
"10","CT1","apr_2009",22.0209999084473,12.805333952109,6.56628125905991
"11","CT1","apr_2010",19.6000003814697,12.1121568381786,72.3105935653051
"12","CT1","apr_2011",21.7950000762939,13.8034797708193,4.87238541245461
"13","CT1","apr_2012",22.0629997253418,13.8275631467501,70.3262394666672
"14","CT1","apr_2013",24.1200008392334,14.5411673784256,4.19419791549444
"15","CT1","apr_2014",23.3339996337891,14.3218548695246,19.4886250297229
"16","CT1","apr_2015",24.0690002441406,14.3120944003264,11.5709791332483
"17","CT1","apr_2016",24.5839996337891,15.4730111658573,17.0030104319255
"18","CT1","apr_2017",23.8649997711182,14.6875944236914,16.7872500121593
"19","CT1","apr_2018",23.2549991607666,14.5472402870655,7.49820832411448
"20","CT1","aug_2000",32.9329986572266,18.6832404235999,0.164364582504883
"21","CT1","aug_2001",31.9529991149902,18.2568757931391,0.230343752210805
"22","CT1","aug_2002",31.3460006713867,17.9264591236909,0.979624992080062
"23","CT1","aug_2003",32.0740013122559,19.435000816981,0.680281251138998
"24","CT1","aug_2004",31.6319999694824,18.9218549927076,0.161312499646253
"25","CT1","aug_2005",33.148998260498,19.2170842289925,0.313854166432672
"26","CT1","aug_2006",31.3229999542236,18.6975946029027,0.322500000745398
"27","CT1","aug_2007",32.6949996948242,18.873282144467,0.418354167901271
"28","CT1","aug_2008",33.4570007324219,19.1871050397555,0
"29","CT1","aug_2009",32.6539993286133,18.8503551483154,0.041166666749632
"30","CT1","aug_2010",31.1499996185303,17.5336884260178,0
"31","CT1","aug_2011",31.7490005493164,18.0795009036859,0.138312500096314
"32","CT1","aug_2012",35.5330009460449,19.6352092623711,0
"33","CT1","aug_2013",32.0309982299805,18.4491362571716,0
"34","CT1","aug_2014",33.2760009765625,19.7561154762904,0
"35","CT1","aug_2015",32.939998626709,20.6340321302414,0
"36","CT1","aug_2016",32.3639984130859,18.5101570884387,0
"37","CT1","aug_2017",33.2229995727539,19.8561363816261,0.00479166658745574
"38","CT1","aug_2018",33.7919998168945,20.0872509479523,0
"39","CT1","dec_2000",21.8509998321533,12.8296048144499,3.1947916696469
"40","CT1","dec_2001",16.7910003662109,10.3668859402339,56.6617082357407
"41","CT1","dec_2002",17.4629993438721,10.9778755009174,154.839833100637
"42","CT1","dec_2003",17.8229999542236,11.3234797120094,53.4864999850591
"43","CT1","dec_2004",18.9409999847412,11.3110213875771,172.210551897685
"44","CT1","dec_2005",19.6280002593994,12.6153130829334,25.3149062593778
"45","CT1","dec_2006",19.7180004119873,11.6452089349429,35.4225835402807
"46","CT1","dec_2007",17.6439990997314,9.87028166651726,68.6156874497731
"47","CT1","dec_2008",17.375,10.2548338373502,58.2679584026337
"48","CT1","dec_2009",16.8649997711182,10.1533650159836,85.3123118877411
"49","CT1","dec_2010",17.7189998626709,11.703156799078,276.390843232473
"50","CT1","dec_2011",18.363000869751,10.5645942787329,7.72883333762487
"51","CT1","dec_2012",16.5359992980957,10.7649172047774,111.230260213216
"52","CT1","dec_2013",20.6009998321533,11.45932345589,6.56120834251245
"53","CT1","dec_2014",18.4899997711182,12.8121881087621,125.975728750229
"54","CT1","dec_2015",17.6599998474121,10.5244900683562,40.2923334439596
"55","CT1","dec_2016",18.7299995422363,11.249521424373,64.9753648042679
"56","CT1","dec_2017",23.3889999389648,13.2263548175494,0.314270833431995
"57","CT1","dec_2018",19.2590007781982,12.103823463122,25.3249166806539
"58","CT1","feb_2000",17.8159999847412,11.8555109500885,252.104999383291
"59","CT1","feb_2001",16.75,10.031125475963,144.294614156087
"60","CT1","feb_2002",21.8939990997314,12.2918234864871,10.9763333499432
"61","CT1","feb_2003",19.0809993743896,11.9562193155289,78.5390207370122
"62","CT1","feb_2004",17.0979995727539,10.2897817492485,152.030323266983
"63","CT1","feb_2005",18.0470008850098,12.2757923007011,155.295396089554
"64","CT1","feb_2006",21.2140007019043,12.5770318011443,32.5289167662462
"65","CT1","feb_2007",19.1550006866455,11.8548130889734,58.1675937175751
"66","CT1","feb_2008",19.2129993438721,11.3945942123731,61.9109896421432
"67","CT1","feb_2009",17.7549991607666,10.7910317579905,125.426041523616
"68","CT1","feb_2010",17.951000213623,11.5608755548795,107.222843964895
"69","CT1","feb_2011",17.3990001678467,9.96840663750966,93.8364269733429
"70","CT1","feb_2012",19.6749992370605,11.6826047400633,8.07138542334239
"71","CT1","feb_2013",18.0189990997314,10.1889484127363,14.9980208774408
"72","CT1","feb_2014",20.7900009155273,12.490781823794,59.8463333447774
"73","CT1","feb_2015",22.3120002746582,14.328115294377,27.153500020504
"74","CT1","feb_2016",24.0690002441406,14.6162923375765,46.9415626525879
"75","CT1","feb_2017",17.2199993133545,12.1420109768709,202.592156569163
"76","CT1","feb_2018",21.6240005493164,12.4625109930833,4.91171875596046
"77","CT1","jan_2000",19.1270008087158,11.893063078324,38.745218873024
