"","HEXID","date","gv","npv","mesma"
"1","CT1","apr_2000",0.220352072864681,0.519087045309018,0.739439118173698
"18","CT1","aug_2000",0.17408492438593,0.585865627704054,0.759950552089984
"35","CT1","dec_2000",0.152948794960977,0.366285295885703,0.519234090846681
"52","CT1","feb_2000",0.268287328205839,0.459838442473047,0.728125770678885
"85","CT1","jul_2000",0.174955983128515,0.567471191111719,0.742427174240234
"102","CT1","jun_2000",0.18024702990077,0.56355865603795,0.74380568593872
"119","CT1","mar_2000",0.136633532395437,0.216919248761366,0.353552781156803
"136","CT1","may_2000",0.188600102911228,0.537668827752503,0.72626893066373
"153","CT1","nov_2000",0.250845950451523,0.51875540783564,0.769601358287163
"170","CT1","oct_2000",0.207040758371684,0.58038429348942,0.787425051861103
"187","CT1","sep_2000",0.194993760455386,0.587493918388147,0.782487678843534
"204","CT10","apr_2000",0.0833399078967339,0.518850035242182,0.602189943138916
"221","CT10","aug_2000",0.142044125984262,0.457942526369814,0.599986652354077
"238","CT10","dec_2000",0.0823559911707445,0.160964610371401,0.243320601542145
"255","CT10","feb_2000",0.0797479552642196,0.524410073930457,0.604158029194677
"288","CT10","jul_2000",0.151583700546078,0.457236441721823,0.608820142267901
"305","CT10","jun_2000",0.126018627665418,0.475956363643669,0.601974991309087
"322","CT10","mar_2000",0.0465441618064874,0.312285404061039,0.358829565867526
"339","CT10","may_2000",0.097853192014671,0.508324640173355,0.606177832188026
"356","CT10","nov_2000",0.0730507117422023,0.359748923097025,0.432799634839228
"373","CT10","oct_2000",0.10187797632342,0.553321179749998,0.655199156073419
"390","CT10","sep_2000",0.128710690058849,0.485178627724035,0.613889317782885
"407","CT11","apr_2000",0.235927176085028,0.288548650547171,0.524475826632199
"424","CT11","aug_2000",0.256700224213625,0.314327177065791,0.571027401279416
"441","CT11","dec_2000",0.203751095274718,0.331389328150009,0.535140423424727
"458","CT11","feb_2000",0.180583251176043,0.376841632007343,0.557424883183386
"491","CT11","jul_2000",0.278930261522406,0.303643065489226,0.582573327011632
"508","CT11","jun_2000",0.272188482627111,0.29790835404915,0.570096836676261
"525","CT11","mar_2000",0.109410719071796,0.195927113454879,0.305337832526674
"542","CT11","may_2000",0.264673953636041,0.286060457503465,0.550734411139506
"559","CT11","nov_2000",0.206915944114124,0.335040822429306,0.541956766543431
"576","CT11","oct_2000",0.204984190995061,0.392389992353849,0.59737418334891
"593","CT11","sep_2000",0.214426992977663,0.327178825272227,0.541605818249891
"610","CT12","apr_2000",0.374450497146288,0.397073973264489,0.771524470410777
"627","CT12","aug_2000",0.187045994301028,0.599488761892845,0.786534756193873
"644","CT12","dec_2000",0.284103584552816,0.342232549965596,0.626336134518412
"661","CT12","feb_2000",0.422109245659185,0.376726846535034,0.79883609219422
"694","CT12","jul_2000",0.196301761538602,0.591471502141604,0.787773263680207
"711","CT12","jun_2000",0.221328655282035,0.573922022419359,0.795250677701394
"728","CT12","mar_2000",0.21357206702312,0.197450212017011,0.411022279040131
"745","CT12","may_2000",0.244281892424837,0.430876284021843,0.675158176446681
"762","CT12","nov_2000",0.26147106931465,0.531608340538712,0.793079409853361
"779","CT12","oct_2000",0.18934993474203,0.643163000265385,0.832512935007415
"796","CT12","sep_2000",0.190736108193402,0.619646126014725,0.810382234208126
"813","CT13","apr_2000",0.153534232587357,0.443857894634725,0.597392127222082
"830","CT13","aug_2000",0.101109669519723,0.516700969476392,0.617810638996115
"847","CT13","dec_2000",0.103995703201096,0.280310568506731,0.384306271707827
"864","CT13","feb_2000",0.187615882511113,0.438006664401471,0.625622546912584
"897","CT13","jul_2000",0.10264632366573,0.503765424078616,0.606411747744346
"914","CT13","jun_2000",0.11010992016857,0.496665209192354,0.606775129360924
"931","CT13","mar_2000",0.0953491381349564,0.21394580490429,0.309294943039247
"948","CT13","may_2000",0.11579806625921,0.469183641183331,0.584981707442541
"965","CT13","nov_2000",0.143596635232862,0.51035222665074,0.653948861883601
"982","CT13","oct_2000",0.108906574101195,0.550283835487818,0.659190409589013
"999","CT13","sep_2000",0.106604300977116,0.522088621613164,0.628692922590281
"1016","CT14","apr_2000",0.0205484768914658,0.384785452869328,0.405333929760794
"1033","CT14","aug_2000",0.0208036225889824,0.384718005762648,0.405521628351631
"1050","CT14","dec_2000",0.0372133835249306,0.35897508905727,0.396188472582201
"1067","CT14","feb_2000",0.0306564614370329,0.425048143796201,0.455704605233234
"1100","CT14","jul_2000",0.0202157913987171,0.384696682384023,0.40491247378274
"1117","CT14","jun_2000",0.0202891750236234,0.384044043904764,0.404333218928387
"1134","CT14","mar_2000",0.0226270079537935,0.385069040943277,0.407696048897071
"1151","CT14","may_2000",0.0198705201937942,0.388210967546758,0.408081487740553
"1168","CT14","nov_2000",0.0216980905558829,0.400166907115396,0.421864997671279
"1185","CT14","oct_2000",0.0202971091270035,0.404682993303606,0.424980102430609
"1202","CT14","sep_2000",0.0200144226686377,0.390738037884415,0.410752460553053
"1219","CT15","apr_2000",0.0234850945337115,0.35869307742956,0.382178171963272
"1236","CT15","aug_2000",0.0237414399221736,0.368292346197475,0.392033786119649
"1253","CT15","dec_2000",0.0376563713122357,0.304600904706505,0.342257276018741
"1270","CT15","feb_2000",0.0366779087213593,0.361270606496434,0.397948515217794
"1303","CT15","jul_2000",0.0239070249628647,0.369455009635963,0.393362034598828
"1320","CT15","jun_2000",0.0239801398446709,0.370009767405139,0.39398990724981
"1337","CT15","mar_2000",0.0249032155133121,0.352143544174944,0.377046759688256
"1354","CT15","may_2000",0.0235650325852094,0.370922722930383,0.394487755515593
"1371","CT15","nov_2000",0.021652814678189,0.338687283080168,0.360340097758358
"1388","CT15","oct_2000",0.0206415502606924,0.359019839885973,0.379661390146666
"1405","CT15","sep_2000",0.0215872808401221,0.365087112947775,0.386674393787897
"1422","CT16","apr_2000",0.450123996365597,0.258510970090897,0.708634966456493
"1439","CT16","aug_2000",0.19881754639418,0.49277382262404,0.691591369018221
"1456","CT16","dec_2000",0.298213140728457,0.338763987370341,0.636977128098798
"1473","CT16","feb_2000",0.406699647981938,0.197834597144593,0.60453424512653
"1506","CT16","jul_2000",0.230907440204989,0.483558773904726,0.714466214109716
"1523","CT16","jun_2000",0.270991314731161,0.464565358329996,0.735556673061157
"1540","CT16","mar_2000",0.227722234764258,0.120425766137085,0.348148000901343
"1557","CT16","may_2000",0.31035836960856,0.365813160891958,0.676171530500517
"1574","CT16","nov_2000",0.214716613204897,0.421375841289991,0.636092454494888
"1591","CT16","oct_2000",0.169407946565307,0.494448290488053,0.66385623705336
"1608","CT16","sep_2000",0.175799713793547,0.507799696292721,0.683599410086268
"1625","CT17","apr_2000",0.433229936960135,0.424131276866012,0.857361213826146
"1642","CT17","aug_2000",0.236321764016996,0.629774635090113,0.866096399107109
"1659","CT17","dec_2000",0.338665280324416,0.409077219566478,0.747742499890894
"1676","CT17","feb_2000",0.407211467180689,0.371881443968608,0.779092911149297
"1709","CT17","jul_2000",0.255499679208201,0.613856673235788,0.869356352443989
"1726","CT17","jun_2000",0.285643230629012,0.592377557345011,0.878020787974023
"1743","CT17","mar_2000",0.416550248725963,0.349329318203367,0.76587956692933
"1760","CT17","may_2000",0.320167037242022,0.469912316028421,0.790079353270443
"1777","CT17","nov_2000",0.26802716321359,0.556876029244091,0.824903192457681
"1794","CT17","oct_2000",0.226403422328158,0.650369552767442,0.8767729750956
"1811","CT17","sep_2000",0.227747113192802,0.637808186451276,0.865555299644079
"1828","CT18","apr_2000",0.124470443011651,0.600313031876392,0.724783474888044
"1845","CT18","aug_2000",0.0686366362574465,0.694528889253898,0.763165525511344
"1862","CT18","dec_2000",0.219078329182148,0.506816550922352,0.7258948801045
"1879","CT18","feb_2000",0.261787426699015,0.582736648022508,0.844524074721523
"1912","CT18","jul_2000",0.0674002657363635,0.687207925541032,0.754608191277396
"1929","CT18","jun_2000",0.0733806742048266,0.669995391116639,0.743376065321465
"1946","CT18","mar_2000",0.169844081544157,0.540020077175107,0.709864158719264
"1963","CT18","may_2000",0.0801751960264705,0.618525028359644,0.698700224386114
"1980","CT18","nov_2000",0.130300484510091,0.678997667640006,0.809298152150096
"1997","CT18","oct_2000",0.0783563407583711,0.765958273216041,0.844314613974412
"2014","CT18","sep_2000",0.074013471777929,0.713713739818961,0.78772721159689
"2031","CT19","apr_2000",0.0596639899201349,0.667512537430237,0.727176527350372
"2048","CT19","aug_2000",0.0464923893836247,0.659906633238329,0.706399022621953
"2065","CT19","dec_2000",0.126000979243842,0.406540733995297,0.53254171323914
"2082","CT19","feb_2000",0.18134765990745,0.608666070162167,0.790013730069617
"2115","CT19","jul_2000",0.045469038140817,0.657564398863946,0.703033437004763
"2132","CT19","jun_2000",0.0399943442938038,0.669623737905447,0.709618082199251
"2149","CT19","mar_2000",0.0838904230651833,0.514649888975219,0.598540312040402
"2166","CT19","may_2000",0.0401221944124538,0.672246395915825,0.712368590328279
"2183","CT19","nov_2000",0.0651980679423725,0.559409845681961,0.624607913624333
"2200","CT19","oct_2000",0.0475514433912954,0.708288389002214,0.75583983239351
