"","HEXID","date","gv","npv","mesma"
"1","CT1","apr_2000",0.363051839588762,0.487747624572845,0.850799464161607
"2","CT1","aug_2000",0.173389072123732,0.644643018029428,0.818032090153161
"3","CT1","dec_2000",0.376789537764787,0.455607491408212,0.832397029172999
"4","CT1","feb_2000",0.453303878601563,0.296118761972847,0.74942264057441
"5","CT1","jul_2000",0.188778958891516,0.636546081283957,0.825325040175473
"6","CT1","jun_2000",0.212948079921129,0.621810683581566,0.834758763502695
"7","CT1","mar_2000",0.301590008129195,0.255929940862206,0.557519948991401
"8","CT1","may_2000",0.2341416494576,0.55544352240737,0.78958517186497
"9","CT1","nov_2000",0.210617171433701,0.57806812756677,0.788685299000471
"10","CT1","oct_2000",0.145449915402581,0.649701370507477,0.795151285910058
"11","CT1","sep_2000",0.150433121266911,0.651361481196999,0.80179460246391
"12","CT10","apr_2000",0.307169030053293,0.393858306075369,0.701027336128662
"13","CT10","aug_2000",0.175881539231318,0.54675598738499,0.722637526616308
"14","CT10","dec_2000",0.194132772486626,0.336186152992281,0.530318925478907
"15","CT10","feb_2000",0.335279302958249,0.395170640947903,0.730449943906152
"16","CT10","jul_2000",0.183974917130608,0.532241714081983,0.716216631212591
"17","CT10","jun_2000",0.207447509289085,0.517813367859312,0.725260877148397
"18","CT10","mar_2000",0.169150854382538,0.203654229173697,0.372805083556235
"19","CT10","may_2000",0.225342218254586,0.428714558267072,0.654056776521658
"20","CT10","nov_2000",0.221276934609077,0.509057456074971,0.730334390684048
"21","CT10","oct_2000",0.17571994420266,0.58707768300105,0.76279762720371
"22","CT10","sep_2000",0.176861844044442,0.564266706761163,0.741128550805605
"23","CT11","apr_2000",0.0357348400750421,0.418849130353774,0.454583970428816
"24","CT11","aug_2000",0.0313587845539156,0.425544374881859,0.456903159435775
"25","CT11","dec_2000",0.0601735011956935,0.367820192042631,0.427993693238324
"26","CT11","feb_2000",0.0577647383310967,0.434006972018704,0.491771710349801
"27","CT11","jul_2000",0.030477371388323,0.424494532358057,0.45497190374638
"28","CT11","jun_2000",0.0308580426858806,0.419617224176891,0.450475266862771
"29","CT11","mar_2000",0.0333743785149928,0.360686746059193,0.394061124574186
"30","CT11","may_2000",0.0310929788551105,0.424751309337506,0.455844288192616
"31","CT11","nov_2000",0.0410700929383482,0.446568096795973,0.487638189734321
"32","CT11","oct_2000",0.0319465890358391,0.446687618733434,0.478634207769273
"33","CT11","sep_2000",0.0308730344643715,0.430202611781686,0.461075646246058
"34","CT12","apr_2000",0.021844403261901,0.350185087964925,0.372029491226826
"35","CT12","aug_2000",0.0212166694710088,0.356013174597948,0.377229844068957
"36","CT12","dec_2000",0.0321309632195904,0.300982439237809,0.3331134024574
"37","CT12","feb_2000",0.0332051898311389,0.364061679089779,0.397266868920918
"38","CT12","jul_2000",0.0218693643721043,0.363384768407916,0.385254132780021
"39","CT12","jun_2000",0.0215438452617898,0.363202884786127,0.384746730047916
"40","CT12","mar_2000",0.0232179933109323,0.334147340432166,0.357365333743099
"41","CT12","may_2000",0.0206584914747896,0.356229470453846,0.376887961928636
"42","CT12","nov_2000",0.0230725722218896,0.343210850487832,0.366283422709721
"43","CT12","oct_2000",0.0210971453637083,0.362455272154818,0.383552417518526
"44","CT12","sep_2000",0.0213503929176891,0.363335942895442,0.384686335813131
"45","CT13","apr_2000",0.415327804603514,0.239421913187075,0.654749717790589
"46","CT13","aug_2000",0.193211471013992,0.456810910546614,0.650022381560606
"47","CT13","dec_2000",0.274073050440042,0.299062976055049,0.573136026495092
